roll_no,student_name,department,semester,avg_marks,avg_attendance,company,package_lpa
IT24479,Umang Raghavan,IT,8,93.0,64.0,TCS,14.48
IT24211,Krishna Zacharia,IT,8,42.8,61.4,Capgemini,13.57
CE24400,Avni Rout,CE,8,20.4,68.8,Amazon,13.55
IT24085,Isaiah Narayan,IT,8,41.8,66.4,Amazon,13.38
IT24139,Balveer Ghosh,IT,8,92.8,80.6,Capgemini,12.91
ME24356,Upkaar Sangha,ME,8,18.0,74.0,Cognizant,12.66
AI24419,Devansh Gopal,AI,8,44.4,73.4,Capgemini,12.43
ME24471,Yatan Borah,ME,8,55.6,92.6,Cognizant,12.34
CSE24325,Oni Chowdhury,CSE,8,22.0,58.6,Infosys,12.15
CSE24079,Rohan Kulkarni,CSE,8,78.4,77.8,Amazon,11.4
