faculty_name,faculty_contact,faculty_email,department,department_id,position,salary,dob,gender,address
Jackson Kala,9503511435,jackson.kala@gmail.com,CSE,1,HOD,130540,1993-03-11,Female,"H.No. 773, Gera Road, Rohtak-367443"
Anusha Brar,8660100092,anusha.brar@gmail.com,CSE,1,Professor,96769,1998-06-07,Male,"958, Kakar, Gaya-744344"
Manthan Chaudhary,8800411409,manthan.chaudhary@gmail.com,CSE,1,Professor,102676,1966-09-14,Male,"607, Narayan Zila, Bongaigaon 930503"
Krishna Pillay,8247846483,krishna.pillay@gmail.com,CSE,1,Associate Professor,83547,1993-07-29,Male,"96/14, Jayaraman Ganj, Ujjain-027048"
Abdul Dua,8943856834,abdul.dua@gmail.com,CSE,1,Associate Professor,71779,1992-03-04,Male,"H.No. 88, Lalla Chowk, Shimoga 606640"
Bahadurjit Iyer,7914632647,bahadurjit.iyer@gmail.com,CSE,1,Associate Professor,74987,1985-11-16,Male,"H.No. 16, Kohli Marg, Chandrapur-162436"
Tripti Loyal,8908884689,tripti.loyal@gmail.com,CSE,1,Associate Professor,84379,1965-03-18,Female,"70/288, Buch Zila, Navi Mumbai-496255"
Udarsh Divan,9825006132,udarsh.divan@gmail.com,CSE,1,Assistant Professor,55270,1962-12-12,Male,"98, Varty Road, Cuttack 018634"
Anay Pingle,9112768791,anay.pingle@gmail.com,CSE,1,Assistant Professor,69112,1969-06-28,Female,"21/311, Jain Zila, Katni-126542"
Joshua Sibal,7471632844,joshua.sibal@gmail.com,CSE,1,Assistant Professor,69383,1982-07-09,Male,"H.No. 08, Gole Road, Kota 190210"
Aashi Chaudhary,7218293270,aashi.chaudhary@gmail.com,CSE,1,Assistant Professor,50513,1989-09-28,Female,"908, Bhardwaj, Serampore 266752"
Baljiwan Khare,7571010280,baljiwan.khare@gmail.com,CSE,1,Assistant Professor,69328,1962-02-16,Female,"94/096, Naidu Road, Lucknow 012707"
Noah Kapoor,8193685496,noah.kapoor@gmail.com,CSE,1,Assistant Professor,63424,1962-01-18,Female,"95, Nigam Zila, Bettiah 003991"
Vedika Shankar,7847143558,vedika.shankar@gmail.com,CSE,1,Assistant Professor,55206,1988-07-15,Male,"H.No. 665, Bhalla Zila, Sambalpur 883503"
Harrison Deo,9567409231,harrison.deo@gmail.com,CSE,1,Assistant Professor,61237,1984-08-11,Male,"H.No. 27, Mani Chowk, Rajahmundry-195717"
Samesh Raval,8973729377,samesh.raval@gmail.com,CSE,1,Assistant Professor,67260,1970-02-17,Female,"86/821, Kalla Nagar, Ratlam-257090"
Aradhana Narain,7126930958,aradhana.narain@gmail.com,CSE,1,Assistant Professor,59887,1975-10-14,Male,"42/424, Mahal Path, Indore 669566"
Nilima Rattan,7521160907,nilima.rattan@gmail.com,CSE,1,Assistant Professor,63148,1992-10-06,Female,"H.No. 81, Wagle Nagar, Dhanbad-706035"
Nicholas Handa,7434547380,nicholas.handa@gmail.com,CSE,1,Assistant Professor,69129,1961-01-17,Male,"83, Gaba Circle, Kumbakonam-898861"
Onkar Sanghvi,8363042916,onkar.sanghvi@gmail.com,CSE,1,Assistant Professor,58114,1968-05-15,Male,"63, Chokshi Chowk, Kakinada-502996"
Manan Karpe,9723833181,manan.karpe@gmail.com,IT,2,HOD,149261,1992-12-07,Male,"H.No. 87, Kant Chowk, Jamalpur 324089"
Harsh Pandey,8242486372,harsh.pandey@gmail.com,IT,2,Professor,98415,1967-05-09,Female,"H.No. 676, Yogi Road, Dehradun 884700"
Aarav Seshadri,9649305801,aarav.seshadri@gmail.com,IT,2,Professor,97666,1968-10-23,Female,"82, Bumb, Cuttack-400190"
Edhitha Sem,8890235752,edhitha.sem@gmail.com,IT,2,Associate Professor,87969,1975-09-15,Male,"599, Agate Chowk, Guntur 239486"
Yashoda Sankar,7477962794,yashoda.sankar@gmail.com,IT,2,Associate Professor,75633,1991-01-20,Male,"036, Jain, Amroha-103650"
Geetika Balay,9664430485,geetika.balay@gmail.com,IT,2,Associate Professor,80342,1982-10-12,Female,"47, Yogi, Nagercoil 951709"
Ubika Gade,8524966480,ubika.gade@gmail.com,IT,2,Associate Professor,70554,1985-03-22,Female,"H.No. 44, Tak Marg, Amravati-608127"
Qarin Guha,8070570827,qarin.guha@gmail.com,IT,2,Assistant Professor,57449,1976-03-13,Male,"H.No. 01, Goswami Zila, Firozabad-268687"
Isha Bava,9211113749,isha.bava@gmail.com,IT,2,Assistant Professor,56262,1979-10-21,Male,"H.No. 018, Nayak Nagar, Kamarhati-110608"
Neel Datta,8762671698,neel.datta@gmail.com,IT,2,Assistant Professor,63833,1992-05-23,Female,"H.No. 614, Khare Circle, Davanagere-334606"
Priya Yadav,8688483829,priya.yadav@gmail.com,IT,2,Assistant Professor,68723,1968-02-29,Female,"67, Bahri Nagar, Nashik 189071"
Upadhriti Pillay,8489081431,upadhriti.pillay@gmail.com,IT,2,Assistant Professor,64209,1971-10-28,Male,"64/654, Pall Ganj, Aurangabad-196125"
Matthew Bhakta,8163100639,matthew.bhakta@gmail.com,IT,2,Assistant Professor,53519,1997-02-24,Male,"H.No. 85, Divan Zila, Haridwar-171580"
Aashi Chandran,8099500708,aashi.chandran@gmail.com,IT,2,Assistant Professor,63496,1981-05-13,Female,"24/707, Kaul Circle, Ramagundam-568096"
Advika Bava,8693022746,advika.bava@gmail.com,IT,2,Assistant Professor,57871,1976-03-29,Male,"05/69, Bora Path, Madanapalle-804110"
Kashish Sandhu,9652493889,kashish.sandhu@gmail.com,IT,2,Assistant Professor,62670,1996-04-26,Female,"77, Mane Ganj, Navi Mumbai 890210"
Jairaj Modi,9355974310,jairaj.modi@gmail.com,IT,2,Assistant Professor,53707,1991-10-01,Female,"14/68, Seshadri Chowk, Jamnagar-039917"
Bhavya Gokhale,8492259706,bhavya.gokhale@gmail.com,IT,2,Assistant Professor,58512,1997-07-20,Male,"54/76, Shanker Path, Jamshedpur 425014"
Alka Kurian,9569023763,alka.kurian@gmail.com,IT,2,Assistant Professor,68259,1981-01-14,Male,"H.No. 56, Comar Road, Korba-583238"
Patrick Sehgal,7946066978,patrick.sehgal@gmail.com,IT,2,Assistant Professor,57923,1974-07-07,Female,"342, Sankar Ganj, Chennai-356658"
Jairaj Kanda,7407353836,jairaj.kanda@gmail.com,AI,3,HOD,143861,1971-02-27,Female,"39/714, Sabharwal Road, Kalyan-Dombivli 112136"
Kashish Datta,7023229062,kashish.datta@gmail.com,AI,3,Professor,102195,1984-10-07,Male,"03/805, Golla Path, Rampur-588713"
Yasti Ranganathan,8235220848,yasti.ranganathan@gmail.com,AI,3,Professor,101998,1988-01-17,Female,"07/096, Hans Nagar, Jammu-769528"
Anita Bhatnagar,9362075680,anita.bhatnagar@gmail.com,AI,3,Associate Professor,73531,1993-01-22,Female,"01, Deshpande Path, Tumkur-477419"
Tanvi Gopal,8077809097,tanvi.gopal@gmail.com,AI,3,Associate Professor,82463,1968-03-22,Female,"58/751, Rege Nagar, Farrukhabad 737780"
Waida Sodhi,7957028244,waida.sodhi@gmail.com,AI,3,Associate Professor,82224,1965-02-08,Female,"H.No. 389, Ratta Zila, Akola-591275"
Anika Yohannan,9840925670,anika.yohannan@gmail.com,AI,3,Associate Professor,78151,1981-02-05,Female,"66/039, Dara Street, Bhalswa Jahangir Pur-213724"
Nathan Thaman,8095903176,nathan.thaman@gmail.com,AI,3,Assistant Professor,64052,1974-02-22,Male,"12/57, Dube Circle, Kochi 578969"
Tanish Lal,9704657467,tanish.lal@gmail.com,AI,3,Assistant Professor,68755,1984-02-03,Female,"H.No. 91, Jaggi Road, Tadepalligudem-542055"
Oscar Hans,9666667722,oscar.hans@gmail.com,AI,3,Assistant Professor,62384,1998-01-26,Female,"66/73, Nagy, Malegaon-707801"
Hitesh Bir,9604160371,hitesh.bir@gmail.com,AI,3,Assistant Professor,56950,1977-09-27,Male,"H.No. 63, Dara Marg, Panipat-934158"
Harish Kothari,8188028628,harish.kothari@gmail.com,AI,3,Assistant Professor,59442,1969-07-31,Male,"36, Devan Ganj, Morbi 212871"
Anirudh Rajagopalan,9665412152,anirudh.rajagopalan@gmail.com,AI,3,Assistant Professor,65503,1973-10-14,Male,"86/27, Virk Path, Loni-916745"
Nirja Dube,9538517440,nirja.dube@gmail.com,AI,3,Assistant Professor,59054,1985-07-31,Female,"782, Palan Street, Indore-829314"
Onkar Dara,9637273696,onkar.dara@gmail.com,AI,3,Assistant Professor,68077,1968-02-26,Male,"H.No. 831, Krish Road, Ludhiana-167403"
Lipika Zacharia,9326590905,lipika.zacharia@gmail.com,AI,3,Assistant Professor,63592,1962-08-20,Female,"76/885, Balakrishnan, Nangloi Jat 078780"
Hredhaan Rege,7771457646,hredhaan.rege@gmail.com,AI,3,Assistant Professor,51946,1978-12-08,Female,"150, Ganesan Chowk, Sangli-Miraj & Kupwad 272178"
Vedant Dave,8492459891,vedant.dave@gmail.com,AI,3,Assistant Professor,66564,1987-03-02,Male,"H.No. 059, Deshmukh Nagar, Arrah 859756"
Brijesh Chokshi,7566058295,brijesh.chokshi@gmail.com,AI,3,Assistant Professor,58811,1963-01-06,Female,"32/782, Bhatti Nagar, Serampore 990710"
Maya Das,7304170744,maya.das@gmail.com,AI,3,Assistant Professor,53907,1978-11-18,Female,"05/68, Saha Zila, Mysore 797749"
Wazir Barman,8040681610,wazir.barman@gmail.com,ME,4,HOD,147434,1963-11-05,Male,"H.No. 537, Kale Marg, Dewas-070778"
Saumya Uppal,9244758955,saumya.uppal@gmail.com,ME,4,Professor,93799,1979-02-09,Male,"753, Lala Marg, Varanasi-008646"
Lajita Ahuja,7203456194,lajita.ahuja@gmail.com,ME,4,Professor,92258,1983-11-30,Female,"65/677, Pillay Nagar, Loni-531936"
Hritik Mistry,8005806024,hritik.mistry@gmail.com,ME,4,Associate Professor,76311,1965-05-07,Female,"H.No. 98, Gera Nagar, Siwan-166947"
Oscar Kakar,7076063993,oscar.kakar@gmail.com,ME,4,Associate Professor,81576,1988-04-28,Male,"70/101, Sangha Street, Haldia 909357"
