roll_no,student_name,department,semester,avg_attendance,avg_marks,total_subjects,total_fee,amount_paid,pending_amount,payment_status,company,package_lpa,placement_status
CSE24001,Arunima Raval,CSE,4,71.8,43.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24002,Fiyaz Chahal,CSE,6,71.0,63.0,5,75000,42232,32768,Partial,N/A,0.0,Not Placed
ME24003,Laksh Kota,ME,4,75.2,78.8,5,75000,20102,54898,Partial,N/A,0.0,Not Placed
IT24004,Urishilla Basak,IT,2,67.6,40.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24005,Zayyan Mitra,AI,6,61.4,76.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24006,Jyoti Sheth,CE,1,59.6,10.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24007,Farhan Buch,CE,1,54.2,75.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24008,Balhaar Grewal,IT,1,76.4,43.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24009,Fiyaz Basak,ME,4,77.0,92.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24010,Bachittar Chawla,AI,7,79.8,42.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24011,Finn Ramaswamy,AI,8,86.4,73.8,5,75000,0,75000,Pending,Cognizant,8.85,Placed
CSE24012,Radhika Khurana,CSE,7,63.8,39.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24013,Ishita Sane,ME,6,70.0,43.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24014,Madhavi Srinivas,AI,4,51.4,94.8,5,75000,44461,30539,Partial,N/A,0.0,Not Placed
CE24015,Damini Dayal,CE,4,54.0,91.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24016,Rachit Tripathi,CE,4,68.0,94.4,5,75000,57283,17717,Partial,N/A,0.0,Not Placed
ME24017,Sudiksha Mandal,ME,2,70.0,43.2,5,75000,42930,32070,Partial,N/A,0.0,Not Placed
ME24018,Theodore Sant,ME,3,83.6,76.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24019,Krishna Bhalla,IT,3,57.2,41.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24020,Fiyaz Vyas,CSE,1,68.4,39.2,5,75000,54767,20233,Partial,N/A,0.0,Not Placed
ME24021,Christopher Kari,ME,7,68.2,38.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24022,Meera Palla,CSE,8,55.4,15.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24023,Mitali Rattan,IT,1,59.0,79.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24024,Advika Mangal,ME,1,72.8,62.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24025,Tanmayi Bail,ME,5,68.0,42.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24026,Fiyaz Comar,IT,5,76.4,18.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24027,Forum Walla,IT,4,73.0,73.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
IT24028,Falguni Kalita,IT,3,83.0,47.2,5,75000,68659,6341,Partial,N/A,0.0,Not Placed
CE24029,Saksham Buch,CE,8,60.6,79.6,5,75000,0,75000,Pending,Microsoft,3.64,Placed
ME24030,Chaaya Suresh,ME,2,85.6,79.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24031,Avni Dyal,AI,3,74.6,60.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24032,Sai Sekhon,IT,1,65.0,12.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24033,Yashodhara Suri,AI,3,63.4,62.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24034,Irya Aurora,CSE,2,54.4,24.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
IT24035,Hemangini Srinivasan,IT,8,65.0,93.0,5,75000,39629,35371,Partial,Amazon,4.09,Placed
IT24036,Yutika Majumdar,IT,1,66.0,75.6,5,75000,52532,22468,Partial,N/A,0.0,Not Placed
ME24037,Veda Gopal,ME,3,77.6,78.0,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24038,Adweta Kalla,CSE,8,59.0,61.0,5,75000,68564,6436,Partial,N/A,0.0,Not Placed
CE24039,Gunbir Peri,CE,5,55.6,42.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24040,Benjamin Bajwa,AI,5,77.6,20.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24041,Gopal Batta,CE,2,59.2,95.6,5,75000,47689,27311,Partial,N/A,0.0,Not Placed
CSE24042,Chanchal Khatri,CSE,1,64.2,40.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
ME24043,Tarak Dasgupta,ME,3,61.8,42.4,5,75000,69709,5291,Partial,N/A,0.0,Not Placed
AI24044,Kabir Ramesh,AI,3,67.4,19.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24045,Jonathan Din,ME,6,69.6,58.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24046,Saanvi Soman,CE,5,59.2,41.6,5,75000,55363,19637,Partial,N/A,0.0,Not Placed
CE24047,Yashica Dayal,CE,6,77.0,75.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24048,Shivansh Reddy,ME,1,68.8,55.2,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CE24049,Omkaar Prasad,CE,2,68.4,19.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24050,Alexander Rastogi,CE,1,79.2,77.6,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24051,Laban Rattan,CSE,1,70.4,94.0,5,75000,28833,46167,Partial,N/A,0.0,Not Placed
CSE24052,Caleb Chacko,CSE,7,77.8,54.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
AI24053,Amara Palla,AI,3,76.8,44.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
ME24054,Champak Badami,ME,4,79.6,94.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24055,Jasmit Kari,CE,8,79.4,17.8,5,75000,58440,16560,Partial,Accenture,10.24,Placed
ME24056,Divya Kant,ME,3,64.0,44.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CE24057,Varsha Nagy,CE,6,84.2,58.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24058,Baghyawati Narayan,CSE,5,73.2,80.0,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24059,Anmol Khanna,CSE,1,86.6,92.8,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24060,Chatresh Barad,CSE,2,66.8,76.4,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24061,Ikbal Bhatt,CSE,5,70.2,79.6,5,75000,75000,0,Paid,N/A,0.0,Not Placed
AI24062,Chakradhar Vig,AI,1,64.2,45.0,5,75000,34017,40983,Partial,N/A,0.0,Not Placed
IT24063,Ucchal Desai,IT,3,78.2,42.8,5,75000,75000,0,Paid,N/A,0.0,Not Placed
CSE24064,Bina Chowdhury,CSE,8,71.4,57.8,5,75000,42564,32436,Partial,N/A,0.0,Not Placed
CSE24065,Owen Gokhale,CSE,7,84.2,43.2,5,75000,0,75000,Pending,N/A,0.0,Not Placed
CSE24066,Urmi Babu,CSE,4,78.0,90.2,5,75000,54702,20298,Partial,N/A,0.0,Not Placed
ME24067,Aditya Edwin,ME,3,71.6,92.4,5,75000,0,75000,Pending,N/A,0.0,Not Placed
