student_name,student_contact,student_email,roll_no,semester,department,department_id,grade,father_name
Arunima Raval,7451491491,arunima.raval@gmail.com,CSE24001,4,CSE,1,B+,Finn Raval
Fiyaz Chahal,9838088205,fiyaz.chahal@gmail.com,CSE24002,6,CSE,1,A+,Harrison Chahal
Laksh Kota,7476758236,laksh.kota@gmail.com,ME24003,4,ME,4,B,Tanay Kota
Urishilla Basak,8629225397,urishilla.basak@gmail.com,IT24004,2,IT,2,A,Yuvraj Basak
Zayyan Mitra,9645889686,zayyan.mitra@gmail.com,AI24005,6,AI,3,A+,Chakradev Mitra
Jyoti Sheth,7085820623,jyoti.sheth@gmail.com,CE24006,1,CE,5,C,David Sheth
Farhan Buch,9707203594,farhan.buch@gmail.com,CE24007,1,CE,5,B+,Akshay Buch
Balhaar Grewal,7812689660,balhaar.grewal@gmail.com,IT24008,1,IT,2,B,Chakradev Grewal
Fiyaz Basak,7963498331,fiyaz.basak@gmail.com,ME24009,4,ME,4,A+,Charles Basak
Bachittar Chawla,9472915273,bachittar.chawla@gmail.com,AI24010,7,AI,3,A,Samesh Chawla
Finn Ramaswamy,7341366269,finn.ramaswamy@gmail.com,AI24011,8,AI,3,A,Ojas Ramaswamy
Radhika Khurana,7116907367,radhika.khurana@gmail.com,CSE24012,7,CSE,1,A+,Qadim Khurana
Ishita Sane,8553491697,ishita.sane@gmail.com,ME24013,6,ME,4,A+,Luke Sane
Madhavi Srinivas,7808790048,madhavi.srinivas@gmail.com,AI24014,4,AI,3,A+,Onkar Srinivas
Damini Dayal,8532671668,damini.dayal@gmail.com,CE24015,4,CE,5,A,Yagnesh Dayal
Rachit Tripathi,8462311260,rachit.tripathi@gmail.com,CE24016,4,CE,5,A+,Azad Tripathi
Sudiksha Mandal,8217604903,sudiksha.mandal@gmail.com,ME24017,2,ME,4,C,Luke Mandal
Theodore Sant,9687994794,theodore.sant@gmail.com,ME24018,3,ME,4,C,Jai Sant
Krishna Bhalla,9930011762,krishna.bhalla@gmail.com,IT24019,3,IT,2,B,Hredhaan Bhalla
Fiyaz Vyas,7689252350,fiyaz.vyas@gmail.com,CSE24020,1,CSE,1,B+,Naveen Vyas
Christopher Kari,7213788978,christopher.kari@gmail.com,ME24021,7,ME,4,B+,Parth Kari
Meera Palla,7478052412,meera.palla@gmail.com,CSE24022,8,CSE,1,B,Gopal Palla
Mitali Rattan,9390126912,mitali.rattan@gmail.com,IT24023,1,IT,2,A,Krishna Rattan
Advika Mangal,8150127918,advika.mangal@gmail.com,ME24024,1,ME,4,B,Caleb Mangal
Tanmayi Bail,9505051160,tanmayi.bail@gmail.com,ME24025,5,ME,4,B+,Nathan Bail
Fiyaz Comar,9125964477,fiyaz.comar@gmail.com,IT24026,5,IT,2,A+,Jack Comar
Forum Walla,8878967193,forum.walla@gmail.com,IT24027,4,IT,2,B,Henry Walla
Falguni Kalita,8360108890,falguni.kalita@gmail.com,IT24028,3,IT,2,A+,Veer Kalita
Saksham Buch,7401511090,saksham.buch@gmail.com,CE24029,8,CE,5,B,Amol Buch
Chaaya Suresh,7000383423,chaaya.suresh@gmail.com,ME24030,2,ME,4,A+,Vincent Suresh
Avni Dyal,7649837185,avni.dyal@gmail.com,AI24031,3,AI,3,B,Agastya Dyal
Sai Sekhon,9658046013,sai.sekhon@gmail.com,IT24032,1,IT,2,B,Matthew Sekhon
Yashodhara Suri,8463887653,yashodhara.suri@gmail.com,AI24033,3,AI,3,B,Agastya Suri
Irya Aurora,8620653956,irya.aurora@gmail.com,CSE24034,2,CSE,1,B,Onveer Aurora
Hemangini Srinivasan,7427874827,hemangini.srinivasan@gmail.com,IT24035,8,IT,2,C,Mohammed Srinivasan
Yutika Majumdar,9315070419,yutika.majumdar@gmail.com,IT24036,1,IT,2,C,Michael Majumdar
Veda Gopal,7364353445,veda.gopal@gmail.com,ME24037,3,ME,4,B,Ayush Gopal
Adweta Kalla,9510179037,adweta.kalla@gmail.com,CSE24038,8,CSE,1,B+,Praneel Kalla
Gunbir Peri,9706211188,gunbir.peri@gmail.com,CE24039,5,CE,5,C,Amol Peri
Benjamin Bajwa,9436552674,benjamin.bajwa@gmail.com,AI24040,5,AI,3,A,Laksh Bajwa
Gopal Batta,8037014484,gopal.batta@gmail.com,CE24041,2,CE,5,A+,Neel Batta
Chanchal Khatri,8124199255,chanchal.khatri@gmail.com,CSE24042,1,CSE,1,C,Oliver Khatri
Tarak Dasgupta,7940488683,tarak.dasgupta@gmail.com,ME24043,3,ME,4,A+,Ekavir Dasgupta
Kabir Ramesh,8340846336,kabir.ramesh@gmail.com,AI24044,3,AI,3,A+,Ikbal Ramesh
Jonathan Din,9539868663,jonathan.din@gmail.com,ME24045,6,ME,4,A+,Ayush Din
Saanvi Soman,7025788365,saanvi.soman@gmail.com,CE24046,5,CE,5,A+,Charan Soman
Yashica Dayal,9143988034,yashica.dayal@gmail.com,CE24047,6,CE,5,A+,Qasim Dayal
Shivansh Reddy,9913456011,shivansh.reddy@gmail.com,ME24048,1,ME,4,A,Balhaar Reddy
Omkaar Prasad,8156598930,omkaar.prasad@gmail.com,CE24049,2,CE,5,A,Banjeet Prasad
Alexander Rastogi,7292420667,alexander.rastogi@gmail.com,CE24050,1,CE,5,C,Daksh Rastogi
Laban Rattan,7693326019,laban.rattan@gmail.com,CSE24051,1,CSE,1,C,Guneet Rattan
Caleb Chacko,9905909330,caleb.chacko@gmail.com,CSE24052,7,CSE,1,A+,Samesh Chacko
Amara Palla,8393734852,amara.palla@gmail.com,AI24053,3,AI,3,C,Ethan Palla
Champak Badami,9470673317,champak.badami@gmail.com,ME24054,4,ME,4,C,Krishna Badami
Jasmit Kari,7755455771,jasmit.kari@gmail.com,CE24055,8,CE,5,C,Nihal Kari
Divya Kant,7519373325,divya.kant@gmail.com,ME24056,3,ME,4,A,Abhimanyu Kant
Varsha Nagy,8575019228,varsha.nagy@gmail.com,CE24057,6,CE,5,A,Rishi Nagy
