student_name,student_contact,student_email,roll_no,semester,department_id,grade,father_name
Zayan Parikh,7255044574,zayan.parikh@gmail.com,IT24001,6,2,B,Abhiram Parikh
Agastya Hari,9655916212,agastya.hari@gmail.com,CE24002,7,5,A+,Yug Hari
Ishwar Pall,8505337767,ishwar.pall@gmail.com,CE24003,7,5,B+,Samarth Pall
Lila Dayal,7435747146,lila.dayal@gmail.com,CSE24004,5,1,A+,Baljiwan Dayal
Krishna Loke,8211353508,krishna.loke@gmail.com,CE24005,3,5,C,Atharv Loke
Arin Rama,8714688837,arin.rama@gmail.com,IT24006,4,2,B+,Yagnesh Rama
Pranit Buch,7965481205,pranit.buch@gmail.com,CSE24007,7,1,A,Mohammed Buch
Girish Patel,9855261165,girish.patel@gmail.com,ME24008,1,4,C,Akshay Patel
Abeer Dhar,9621835691,abeer.dhar@gmail.com,ME24009,1,4,B,Jeremiah Dhar
Yatin Saraf,7433728077,yatin.saraf@gmail.com,CSE24010,1,1,A+,Yuvraj Saraf
Januja Bala,8694286993,januja.bala@gmail.com,CSE24011,1,1,B,Onveer Bala
Adya Ramachandran,9489959798,adya.ramachandran@gmail.com,CSE24012,4,1,B,Udant Ramachandran
Nicholas Ghosh,9636800403,nicholas.ghosh@gmail.com,AI24013,2,3,B+,Wahab Ghosh
Nathaniel Parmar,7539816225,nathaniel.parmar@gmail.com,CSE24014,1,1,B+,Dhruv Parmar
Yochana Toor,8231524996,yochana.toor@gmail.com,CSE24015,6,1,C,Dhruv Toor
Girik Pal,7513387372,girik.pal@gmail.com,CSE24016,4,1,A+,Pranit Pal
Leela Garg,9851453088,leela.garg@gmail.com,IT24017,5,2,A,Gaurang Garg
Jagat Agrawal,8213366073,jagat.agrawal@gmail.com,IT24018,3,2,A+,Abdul Agrawal
Yamini Krishna,8289125477,yamini.krishna@gmail.com,AI24019,1,3,C,Gaurav Krishna
Manan Dhawan,9780018229,manan.dhawan@gmail.com,AI24020,8,3,C,Utkarsh Dhawan
Bishakha Mall,7578349822,bishakha.mall@gmail.com,AI24021,2,3,B+,Azaan Mall
Chakradhar Bose,8418386032,chakradhar.bose@gmail.com,CE24022,1,5,B,Tanay Bose
Ucchal Soni,8973479621,ucchal.soni@gmail.com,ME24023,1,4,B+,Kai Soni
Wahab Hegde,7506528463,wahab.hegde@gmail.com,AI24024,5,3,B,Fitan Hegde
Chanakya Taneja,8061202651,chanakya.taneja@gmail.com,CE24025,7,5,B+,Umang Taneja
Gavin Padmanabhan,7484557739,gavin.padmanabhan@gmail.com,AI24026,3,3,C,Samar Padmanabhan
Jacob Dhillon,9284479218,jacob.dhillon@gmail.com,CSE24027,6,1,A,Jai Dhillon
Bahadurjit Butala,9779247648,bahadurjit.butala@gmail.com,CE24028,3,5,B+,Jai Butala
Dalbir Korpal,7476102086,dalbir.korpal@gmail.com,AI24029,8,3,B,Umang Korpal
Omya Soni,9112874340,omya.soni@gmail.com,CSE24030,1,1,B,Aadi Soni
Mitesh Varma,7114814909,mitesh.varma@gmail.com,IT24031,6,2,C,Laban Varma
Jeevika Grewal,9261888657,jeevika.grewal@gmail.com,CE24032,1,5,A,Advik Grewal
Shivani Morar,9913454360,shivani.morar@gmail.com,ME24033,4,4,A,Kai Morar
Yashvi Doctor,9530803620,yashvi.doctor@gmail.com,ME24034,5,4,A,Maanas Doctor
Rachana Manne,9043298218,rachana.manne@gmail.com,CSE24035,3,1,B+,Girik Manne
Charita Yogi,9569275779,charita.yogi@gmail.com,ME24036,2,4,C,Wridesh Yogi
Dhruv Dhingra,9123659356,dhruv.dhingra@gmail.com,AI24037,3,3,B,Umang Dhingra
Anya Chakrabarti,9349540001,anya.chakrabarti@gmail.com,CSE24038,1,1,C,Finn Chakrabarti
Qasim Chander,7708714319,qasim.chander@gmail.com,AI24039,1,3,B+,Akshay Chander
Fiyaz Babu,8609027596,fiyaz.babu@gmail.com,AI24040,1,3,A+,Daniel Babu
Divya Pradhan,8712933723,divya.pradhan@gmail.com,AI24041,5,3,A,Chakradhar Pradhan
Triveni Sheth,8163102350,triveni.sheth@gmail.com,IT24042,3,2,A,Faqid Sheth
Rachana Chauhan,8165733136,rachana.chauhan@gmail.com,ME24043,6,4,A+,Gabriel Chauhan
Xiti Balakrishnan,9575710476,xiti.balakrishnan@gmail.com,IT24044,2,2,A,Zayan Balakrishnan
Pushti Agrawal,8947435076,pushti.agrawal@gmail.com,CE24045,5,5,A+,Aryan Agrawal
Nidra Doctor,8413916690,nidra.doctor@gmail.com,IT24046,3,2,C,Harrison Doctor
George Chhabra,8205439816,george.chhabra@gmail.com,CE24047,3,5,B+,Max Chhabra
Vasudha Gill,7582666637,vasudha.gill@gmail.com,CSE24048,1,1,B+,Frederick Gill
Unnati Minhas,7599718043,unnati.minhas@gmail.com,IT24049,1,2,A,Theodore Minhas
Aadi Khurana,7636816142,aadi.khurana@gmail.com,IT24050,1,2,C,Advik Khurana
Banjeet Dora,9137566208,banjeet.dora@gmail.com,ME24051,2,4,B+,Arin Dora
Vyanjana Dugal,8639902546,vyanjana.dugal@gmail.com,IT24052,3,2,A,Yatin Dugal
Gautami Saxena,9183547350,gautami.saxena@gmail.com,ME24053,8,4,A+,Fiyaz Saxena
Abha Singh,7943182222,abha.singh@gmail.com,AI24054,4,3,A+,George Singh
Abdul Sankar,9299212608,abdul.sankar@gmail.com,IT24055,8,2,C,Andrew Sankar
Nidhi Chahal,9841125244,nidhi.chahal@gmail.com,ME24056,2,4,A,Ekbal Chahal
